time,displacement
0,63.25
0.8,63.18
1.1,63.12
1.3,63.05
1.6,62.99
1.8,62.92
2.1,62.85
2.3,62.78
2.6,62.72
2.8,62.64
3.1,62.58
3.3,62.51
3.6,62.44
3.8,62.38
4.1,62.31
4.3,62.24
4.6,62.17
4.8,62.11
5.1,62.04
5.3,61.98
5.6,61.91
5.8,61.85
6.1,61.79
6.3,61.73
6.6,61.67
6.9,61.58
7.3,61.49
7.7,61.4
8.1,61.31
8.5,61.22
9,61.12
9.5,61.02
10,60.93
10.6,60.84
11.2,60.75
11.8,60.68
12.5,60.62
13.2,60.58
14,60.54
14.8,60.52
15.6,60.51
16.5,60.5
17.5,60.49
18.4,60.48
19.5,60.47
20.7,60.46
21.9,60.44
23.1,60.43
24.4,60.41
25.9,60.39
27.4,60.38
28.9,60.36
30.6,60.34
32.4,60.33
34.3,60.31
36.3,60.29
38.4,60.29
40.6,60.28
43,60.27
45.5,60.26
48.2,60.26
51,60.25
54,60.24
57.2,60.24
60.5,60.23
64.1,60.22
67.7,60.22
71.9,60.21
76.1,60.2
80.3,60.19
85.1,60.19
90.5,60.18
95.3,60.17
101.3,60.16
107.3,60.15
113.3,60.14
119.9,60.13
127.1,60.12
134.9,60.11
142.7,60.1
151.1,60.09
160.1,60.07
169.8,60.06
179.3,60.04
190.1,60.02
201.5,60.01
213.5,59.99
226.1,59.97
239.3,59.95
253.7,59.93
268.7,59.9
284.3,59.88
301.1,59.86
319.1,59.83
337.7,59.8
358.1,59.77
379.1,59.73
401.3,59.7
425.3,59.66
450.5,59.63
476.9,59.58
505.1,59.55
535.1,59.5
566.9,59.45
600.6,59.4
636.5,59.35
672.5,59.3
714.5,59.23
756.6,59.17
798.5,59.12
846.5,59.05
900.5,58.97
948.5,58.9
1008.5,58.82
1068.6,58.74
1128.5,58.65
1194.5,58.55
1266.5,58.46
1344.5,58.35
1422.5,58.24
1506.5,58.13
1596.5,58.01
1692.6,57.88
1788.5,57.75
1899.5,57.61
2010.5,57.46
2130.5,57.3
2256.5,57.13
2388.5,56.96
2532.5,56.78
2682.5,56.59
2838.5,56.4
3006.5,56.19
3186.5,55.97
3372.5,55.74
3576.5,55.51
3786.5,55.25
4008.5,54.98
4248.5,54.7
4500.5,54.4
4764.5,54.09
5046.5,53.76
5355.55,53.42
5664.6,53.07
6000.6,52.71
6360.5,52.32
6720.5,51.95
7140.5,51.52
7560.5,51.09
7980.5,50.65
8460.5,50.18
8970.55,49.64
9480.6,49.19
10080.5,48.62
10680.5,48.08
11280.5,47.54
11880.5,47.01
12480.5,46.49
13080.5,45.97
13680.5,45.47
14280.5,44.97
14880.6,44.48
15480.5,44
16080.5,43.54
16680.5,43.07
17280.5,42.61
17880.5,42.16
18480.5,41.72
19080.5,41.29
19680.55,40.86
20280.6,40.44
20880.5,40.02
21480.5,39.62
22080.5,39.21
22680.5,38.81
23280.5,38.42
23880.5,38.02
24480.5,37.63
25080.5,37.26
25680.6,36.87
26280.5,36.49
26880.5,36.13
27480.5,35.77
28080.5,35.41
28680.5,35.07
29280.5,34.72
29880.5,34.38
30480.55,34.05
31080.6,33.72
31680.5,33.39
32280.5,33.07
32880.5,32.76
33480.5,32.45
34080.5,32.13
34680.5,31.84
35280.5,31.54
35880.5,31.23
36480.6,30.91
37080.5,30.6
37680.5,30.29
38280.5,29.99
38880.5,29.69
39480.5,29.4
40080.5,29.11
40680.5,28.83
41280.55,28.56
41880.6,28.28
42480.5,28.01
43080.5,27.74
43680.5,27.48
44280.5,27.22
44880.5,26.97
45480.5,26.71
46080.5,26.46
46680.5,26.21
47280.6,25.97
47880.5,25.72
48480.5,25.49
49080.5,25.25
49680.5,25.02
50280.5,24.79
50880.5,24.56
51480.5,24.34
52080.55,24.11
52680.6,23.9
53280.5,23.67
53880.5,23.46
54480.5,23.25
55080.5,23.03
55680.5,22.83
56280.5,22.61
56880.5,22.41
57480.5,22.21
58080.6,22.01
58680.5,21.81
59280.5,21.61
59880.5,21.42
60480.5,21.22
61080.5,21.04
61680.5,20.86
62280.5,20.67
62880.55,20.49
63480.6,20.31
64080.5,20.12
64680.5,19.95
65280.5,19.78
65880.5,19.6
66480.5,19.43
67080.5,19.26
67680.5,19.09
68280.5,18.92
68880.6,18.76
69480.5,18.59
70080.5,18.43
70680.5,18.27
71280.5,18.11
71880.5,17.96
72480.5,17.8
73080.5,17.64
73680.55,17.48
74280.6,17.34
74880.5,17.19
75480.5,17.04
76080.5,16.89
76680.5,16.75
77280.5,16.61
77880.5,16.46
78480.5,16.32
79080.5,16.18
79680.6,16.05
80280.5,15.91
80880.5,15.77
81480.5,15.64
82080.5,15.51
82680.5,15.38
83280.5,15.25
83880.5,15.12
84480.55,14.99
85080.6,14.87
85680.5,14.74
86280.5,14.62
86880.5,14.5
87480.5,14.38
88080.5,14.26
88680.5,14.14
89280.5,14.03
89880.5,13.91
90480.6,13.8
91080.5,13.69
91680.5,13.58
92280.5,13.47
92880.5,13.36
93480.5,13.25
94080.5,13.14
94680.5,13.04
95280.55,12.94
95880.6,12.83
96480.5,12.74
97080.5,12.63
97680.5,12.53
98280.5,12.43
98880.5,12.33
99480.5,12.24
100080.5,12.14
100680.5,12.05
101280.6,11.95
101880.5,11.86
102480.5,11.76
103080.5,11.67
103680.5,11.58
104280.5,11.5
104880.5,11.4
105480.5,11.32
106080.55,11.23
106680.6,11.15
107280.5,11.07
107880.5,10.98
108480.5,10.89
109080.5,10.8
109680.5,10.72
110280.5,10.65
110880.5,10.56
111480.5,10.49
112080.6,10.41
112680.5,10.32
113280.5,10.25
113880.5,10.17
114480.5,10.09
115080.5,10.02
115680.5,9.94
116280.5,9.87
116880.55,9.8
117480.6,9.74
118080.5,9.65
118680.5,9.58
119280.5,9.52
119880.5,9.44
120480.5,9.37
121080.5,9.3
121680.5,9.23
122280.5,9.16
122880.6,9.09
123480.5,9.03
124080.5,8.97
124680.5,8.89
125280.5,8.83
125880.5,8.76
126480.5,8.7
127080.5,8.63
127680.55,8.58
128280.6,8.51
128880.5,8.46
129480.5,8.38
130080.5,8.32
130680.5,8.26
131280.5,8.21
131880.5,8.14
132480.5,8.08
133080.5,8.03
133680.6,7.97
134280.5,7.92
134880.5,7.86
135480.5,7.81
136080.5,7.75
136680.5,7.7
137280.5,7.63
137880.5,7.58
138480.55,7.53
139080.6,7.47
139680.5,7.42
140280.5,7.37
140880.5,7.31
141480.5,7.26
142080.5,7.21
142680.5,7.16
143280.5,7.12
143880.5,7.06
144480.6,7.02
145080.5,6.97
145680.5,6.91
146280.5,6.87
146880.5,6.82
147480.5,6.78
148080.5,6.73
148680.5,6.69
149280.55,6.64
149880.6,6.59
150480.5,6.55
151080.5,6.5
151680.5,6.47
152280.5,6.42
152880.5,6.38
153480.5,6.34
154080.5,6.29
154680.5,6.24
155280.6,6.2
155880.5,6.17
156480.5,6.12
157080.5,6.08
157680.5,6.05
158280.5,6
158880.5,5.96
159480.5,5.92
160080.55,5.89
160680.6,5.86
161280.5,5.8
161880.5,5.77
162480.5,5.74
163080.5,5.7
163680.5,5.66
164280.5,5.62
164880.5,5.58
165480.5,5.55
166080.6,5.51
166680.5,5.47
167280.5,5.44
167880.5,5.4
168480.5,5.37
169080.5,5.33
169680.5,5.3
170280.5,5.26
170880.55,5.24
171480.6,5.2
172080.5,5.16
172680.5,5.13
173280.5,5.1
173880.5,5.06
174480.5,5.03
175080.5,5
175680.5,4.96
176280.5,4.93
176880.6,4.9
177480.5,4.87
178080.5,4.84
178680.5,4.81
179280.5,4.78
179880.5,4.74
180480.5,4.72
181080.5,4.68
181680.55,4.66
182280.6,4.62
182880.5,4.59
183480.5,4.57
184080.5,4.54
184680.5,4.51
185280.5,4.48
185880.5,4.46
186480.5,4.43
187080.5,4.41
187680.6,4.38
188280.5,4.35
188880.5,4.33
189480.5,4.31
190080.5,4.28
190680.5,4.26
191280.5,4.23
191880.5,4.21
192480.55,4.18
193080.6,4.16
193680.5,4.13
194280.5,4.12
194880.5,4.09
195480.5,4.07
196080.5,4.04
196680.5,4.02
197280.5,4
197880.5,3.98
198480.6,3.96
199080.5,3.93
199680.5,3.91
200280.5,3.89
200880.5,3.87
201480.5,3.85
202080.5,3.83
202680.5,3.81
203280.55,3.78
203880.6,3.76
204480.5,3.74
205080.5,3.72
205680.5,3.7
206280.5,3.68
206880.5,3.66
207480.5,3.64
208080.5,3.62
208680.5,3.6
209280.6,3.58
209880.5,3.57
210480.5,3.55
211080.5,3.53
211680.5,3.51
212280.5,3.49
212880.5,3.47
213480.5,3.46
214080.55,3.44
214680.6,3.41
215280.5,3.39
215880.5,3.38
216480.5,3.36
217080.5,3.34
217680.5,3.33
218280.5,3.3
218880.5,3.3
219480.5,3.28
220080.6,3.26
220680.5,3.23
221280.5,3.22
221880.5,3.2
222480.5,3.19
223080.5,3.17
223680.5,3.16
224280.5,3.13
224880.55,3.13
225480.6,3.11
226080.5,3.09
226680.5,3.08
227280.5,3.06
227880.5,3.05
228480.5,3.04
229080.5,3.02
229680.5,3
230280.5,2.99
230880.6,2.97
231480.5,2.95
232080.5,2.94
232680.5,2.92
233280.5,2.91
233880.5,2.9
234480.5,2.88
235080.5,2.86
235680.55,2.85
236280.6,2.84
236880.5,2.82
237480.5,2.82
238080.5,2.8
238680.5,2.79
239280.5,2.77
239880.5,2.76
240480.5,2.75
241080.5,2.73
241680.6,2.72
242280.5,2.71
242880.5,2.7
243480.5,2.69
244080.5,2.67
244680.5,2.66
245280.5,2.65
245880.5,2.64
246480.55,2.62
247080.6,2.61
247680.5,2.59
248280.5,2.59
248880.5,2.56
249480.5,2.55
250080.5,2.54
250680.5,2.54
251280.5,2.53
251880.5,2.52
252480.6,2.5
253080.5,2.49
253680.5,2.48
254280.5,2.47
254880.5,2.46
255480.5,2.44
256080.5,2.44
256680.5,2.43
257280.55,2.41
257880.6,2.41
258480.5,2.39
259080.5,2.38
259680.5,2.37
260280.5,2.36
260880.5,2.36
261480.5,2.34
262080.5,2.33
262680.5,2.32
263280.6,2.31
263880.5,2.29
264480.5,2.29
265080.5,2.27
265680.5,2.27
266280.5,2.25
266880.5,2.24
267480.5,2.24
268080.55,2.23
268680.6,2.22
269280.5,2.2
269880.5,2.2
270480.5,2.19
271080.5,2.18
271680.5,2.17
272280.5,2.16
272880.5,2.15
273480.5,2.14
274080.6,2.13
274680.5,2.12
275280.5,2.11
275880.5,2.1
276480.5,2.1
277080.5,2.08
277680.5,2.08
278280.5,2.07
278880.55,2.05
279480.6,2.06
280080.5,2.04
280680.5,2.04
281280.5,2.03
281880.5,2.02
282480.5,2.01
283080.5,2
283680.5,1.99
284280.5,1.99
284880.6,1.97
285480.5,1.97
286080.5,1.97
286680.5,1.95
287280.5,1.94
287880.5,1.94
288480.5,1.93
289080.5,1.92
289680.55,1.91
290280.6,1.9
290880.5,1.89
291480.5,1.88
292080.5,1.88
292680.5,1.87
293280.5,1.86
293880.5,1.86
294480.5,1.85
295080.5,1.84
295680.6,1.83
296280.5,1.82
296880.5,1.82
297480.5,1.8
298080.5,1.81
298680.5,1.8
299280.5,1.79
299880.5,1.78
300480.55,1.77
301080.6,1.77
301680.5,1.76
302280.5,1.76
302880.5,1.74
303480.5,1.73
304080.5,1.73
304680.5,1.73
305280.5,1.72
305880.5,1.71
306480.6,1.7
307080.5,1.7
307680.5,1.69
308280.5,1.69
308880.5,1.68
309480.5,1.66
310080.5,1.66
